Device,Timestamp,Latitude,Longitude,Speed,Heading
RockBLOCK 14432,2018-09-19 12:54:58,82.43397666666667,19.651838333333334,0.35,234.32
RockBLOCK 14432,2018-09-19 17:16:55,82.42708,19.512056666666666,0.11,279.28
RockBLOCK 14432,2018-09-19 21:35:09,82.415535,19.399803333333335,0.37,223.0
RockBLOCK 14432,2018-09-20 01:54:01,82.405305,19.215035,0.42,268.41
RockBLOCK 14432,2018-09-20 06:12:35,82.407325,19.068781666666666,0.14,262.47
RockBLOCK 14432,2018-09-20 10:32:41,82.40162666666667,19.00005833333333,0.26,224.83
RockBLOCK 14432,2018-09-20 14:50:52,82.38877,18.851315,0.36,249.81
RockBLOCK 14432,2018-09-20 19:09:07,82.38429333333333,18.675435,0.29,273.24
RockBLOCK 14432,2018-09-20 23:28:01,82.38372,18.543213333333334,0.25,256.0
RockBLOCK 14432,2018-09-21 03:46:10,82.3768,18.402075,0.3,252.0
RockBLOCK 14432,2018-09-21 08:05:50,82.37037333333333,18.278011666666668,0.21,234.22
RockBLOCK 14432,2018-09-21 12:24:52,82.35673666666666,18.172428333333333,0.4,232.92
RockBLOCK 14432,2018-09-21 16:43:39,82.342005,17.963735,0.51,251.77
RockBLOCK 14432,2018-09-21 21:02:33,82.33647833333333,17.749883333333333,0.26,253.91
RockBLOCK 14432,2018-09-22 01:21:11,82.328835,17.647736666666667,0.24,241.39
RockBLOCK 14432,2018-09-22 05:39:52,82.32167666666666,17.496291666666668,0.32,259.17
RockBLOCK 14432,2018-09-22 09:58:41,82.31715833333334,17.370941666666667,0.25,234.62
RockBLOCK 14432,2018-09-22 14:16:55,82.304185,17.216091666666667,0.41,240.76
RockBLOCK 14432,2018-09-22 18:35:32,82.29443666666667,16.9518,0.56,264.88
RockBLOCK 14432,2018-09-22 22:54:54,82.29044166666667,16.683553333333332,0.53,263.18
RockBLOCK 14432,2018-09-23 03:13:39,82.29293833333334,16.402821666666668,0.59,281.57
RockBLOCK 14432,2018-09-23 07:32:31,82.29890333333333,16.049626666666665,0.67,276.68
RockBLOCK 14432,2018-09-23 11:51:16,82.28778666666666,15.694,0.94,247.32
RockBLOCK 14432,2018-09-23 16:09:56,82.26615,15.105713333333334,1.19,265.56
RockBLOCK 14432,2018-09-23 23:59:37,82.24010833333334,14.011748333333333,1.14,251.41
RockBLOCK 14432,2018-09-24 04:19:41,82.21741333333334,13.43764,1.01,253.61
RockBLOCK 14432,2018-09-24 08:38:12,82.18662666666667,12.931255,1.01,241.33
RockBLOCK 14432,2018-09-24 12:57:11,82.13861333333334,12.595826666666667,0.93,219.9
RockBLOCK 14432,2018-09-24 17:16:12,82.09817333333334,12.206733333333334,1.08,244.22
RockBLOCK 14432,2018-09-24 21:34:32,82.070275,11.940976666666666,0.73,194.55
RockBLOCK 14432,2018-09-25 01:53:34,82.01391666666666,11.763105,0.77,202.67
RockBLOCK 14432,2018-09-25 06:11:45,81.95949,11.623628333333333,0.95,211.4
RockBLOCK 14432,2018-09-25 10:30:33,81.89093166666666,11.33205,1.45,213.25
RockBLOCK 14432,2018-09-25 14:50:51,81.81391833333333,11.06256,0.94,201.39
RockBLOCK 14432,2018-09-25 19:10:44,81.759185,11.006411666666667,1.03,173.11
RockBLOCK 14432,2018-09-25 23:31:18,81.65897,11.112806666666666,1.35,182.89
RockBLOCK 14432,2018-09-27 11:16:18,81.22479666666666,11.636583333333334,0.07,210.08
